policy_num,base_policy,day_claimed,week_claimed,month_claimed,deductible,days_policy_claim,past_num_claims,address_change_claim,agent_type,rep_num,is_fraud,age,sex,age_group,num_cars,vehicle_age,vehicle_category,vehicle_price,make,accident_area,fault,witness_present,police_report_filed
7189,liability,thursday,2,nov,400,more than 30,1,no change,external,15,0,44,male,36 to 40,1 vehicle,> 7 years,sport,20000 to 29000,mazda,urban,third party,no,no
7190,all perils,thursday,2,oct,400,more than 30,1,1 year,external,6,0,33,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,pontiac,rural,third party,no,no
7191,all perils,thursday,2,oct,400,more than 30,2 to 4,no change,external,14,0,34,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,chevrolet,urban,policy holder,no,no
7192,collision,thursday,4,may,500,more than 30,2 to 4,2 to 3 years,external,1,0,40,male,36 to 40,1 vehicle,6 years,sedan,20000 to 29000,honda,rural,policy holder,no,no
7193,liability,friday,1,jun,700,more than 30,2 to 4,no change,external,7,0,53,male,41 to 50,1 vehicle,7 years,sport,30000 to 39000,toyota,urban,policy holder,no,no
7194,all perils,tuesday,3,oct,400,more than 30,none,no change,external,6,0,50,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,mazda,urban,third party,no,no
7195,all perils,monday,2,jul,400,more than 30,none,no change,external,7,0,45,female,36 to 40,1 vehicle,5 years,sedan,20000 to 29000,chevrolet,urban,third party,no,no
7196,liability,tuesday,2,jun,400,more than 30,more than 4,no change,external,7,0,45,female,36 to 40,1 vehicle,7 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
7197,liability,friday,1,sep,400,more than 30,1,no change,external,10,0,29,male,31 to 35,1 vehicle,7 years,sport,20000 to 29000,pontiac,rural,policy holder,no,no
7198,collision,friday,3,oct,400,more than 30,more than 4,no change,external,2,0,40,female,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,honda,urban,third party,no,no
7199,liability,tuesday,1,oct,400,more than 30,more than 4,no change,external,14,0,28,female,31 to 35,1 vehicle,7 years,sport,20000 to 29000,honda,urban,policy holder,no,no
7200,all perils,monday,1,oct,400,more than 30,none,no change,external,9,0,44,female,36 to 40,1 vehicle,6 years,sedan,20000 to 29000,honda,urban,policy holder,no,no
7201,all perils,tuesday,1,oct,400,more than 30,none,no change,external,13,0,61,male,51 to 65,1 vehicle,> 7 years,sedan,less than 20000,toyota,urban,policy holder,no,no
7202,all perils,wednesday,3,jun,400,more than 30,1,no change,external,7,0,31,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,toyota,urban,third party,no,no
7203,collision,monday,2,jun,400,more than 30,1,no change,external,3,0,26,male,31 to 35,1 vehicle,7 years,sedan,30000 to 39000,toyota,urban,policy holder,no,no
7204,all perils,tuesday,2,oct,400,more than 30,2 to 4,4 to 8 years,external,6,0,75,male,over 65,2 vehicles,6 years,sedan,less than 20000,pontiac,rural,third party,no,yes
7205,all perils,monday,4,feb,400,more than 30,2 to 4,no change,external,10,0,41,male,36 to 40,1 vehicle,> 7 years,sedan,20000 to 29000,toyota,urban,third party,no,no
7206,all perils,thursday,4,feb,400,more than 30,none,no change,external,12,0,76,male,over 65,1 vehicle,> 7 years,sedan,less than 20000,toyota,urban,policy holder,no,no
7207,liability,thursday,3,aug,400,more than 30,2 to 4,no change,external,5,0,39,female,36 to 40,1 vehicle,7 years,sport,20000 to 29000,mazda,urban,policy holder,no,no
7208,all perils,thursday,2,nov,400,more than 30,none,no change,external,15,0,30,female,31 to 35,1 vehicle,5 years,sedan,more than 69000,toyota,urban,third party,no,no
7209,all perils,tuesday,2,nov,400,more than 30,none,no change,external,5,0,34,male,31 to 35,1 vehicle,5 years,sedan,40000 to 59000,vw,rural,third party,no,no
7210,collision,wednesday,3,sep,400,more than 30,1,no change,external,11,0,38,female,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,honda,urban,third party,no,no
7211,collision,wednesday,1,oct,400,more than 30,2 to 4,no change,external,8,0,21,male,26 to 30,1 vehicle,5 years,sedan,20000 to 29000,toyota,urban,third party,no,no
7212,liability,tuesday,2,jun,400,more than 30,more than 4,no change,external,10,0,40,female,36 to 40,1 vehicle,7 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
7213,all perils,monday,3,oct,400,more than 30,1,no change,external,16,1,30,female,31 to 35,1 vehicle,6 years,sedan,more than 69000,chevrolet,rural,policy holder,no,no
7214,liability,friday,1,jun,400,more than 30,1,no change,external,5,0,60,male,51 to 65,1 vehicle,> 7 years,sport,20000 to 29000,honda,urban,policy holder,no,no
7215,all perils,wednesday,3,oct,400,more than 30,2 to 4,no change,external,10,0,22,male,26 to 30,1 vehicle,5 years,sedan,30000 to 39000,mazda,urban,third party,no,no
7216,all perils,thursday,4,may,400,more than 30,1,no change,external,9,0,42,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,yes
7217,collision,thursday,2,aug,400,more than 30,2 to 4,no change,internal,13,0,27,male,31 to 35,3 to 4,7 years,sedan,30000 to 39000,chevrolet,rural,policy holder,no,no
7218,all perils,wednesday,3,oct,400,more than 30,1,no change,external,12,0,33,male,31 to 35,1 vehicle,6 years,sedan,30000 to 39000,chevrolet,urban,third party,no,no
7219,liability,wednesday,4,jun,400,more than 30,2 to 4,no change,external,11,0,30,female,31 to 35,1 vehicle,6 years,sport,more than 69000,honda,urban,policy holder,no,no
7220,all perils,tuesday,2,jun,400,more than 30,none,no change,external,15,0,29,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,pontiac,urban,third party,no,no
7221,liability,thursday,3,may,400,more than 30,more than 4,no change,external,1,0,26,male,31 to 35,1 vehicle,6 years,sport,30000 to 39000,mazda,urban,policy holder,no,no
7222,collision,wednesday,1,jun,400,more than 30,none,no change,external,3,0,53,male,41 to 50,1 vehicle,> 7 years,sedan,30000 to 39000,mazda,urban,policy holder,no,no
7223,all perils,thursday,4,may,400,more than 30,2 to 4,no change,external,4,0,29,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
7224,all perils,friday,1,may,700,15 to 30,none,no change,external,1,0,78,male,over 65,1 vehicle,> 7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
7225,all perils,monday,1,apr,400,more than 30,1,4 to 8 years,external,7,0,53,male,41 to 50,2 vehicles,> 7 years,utility,more than 69000,ford,urban,policy holder,no,no
7226,liability,friday,1,nov,400,more than 30,2 to 4,no change,external,11,0,29,male,31 to 35,1 vehicle,6 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
7227,liability,monday,4,oct,400,more than 30,2 to 4,no change,external,3,0,44,male,36 to 40,1 vehicle,7 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
7228,collision,monday,3,sep,400,more than 30,none,no change,external,9,0,38,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,toyota,urban,third party,no,no
7229,collision,tuesday,3,oct,400,more than 30,none,no change,external,15,0,60,male,51 to 65,1 vehicle,> 7 years,sedan,20000 to 29000,toyota,urban,third party,no,no
7230,collision,tuesday,3,oct,400,more than 30,more than 4,no change,external,4,1,46,female,41 to 50,1 vehicle,> 7 years,sedan,30000 to 39000,mazda,urban,policy holder,no,no
7231,collision,friday,4,jun,400,more than 30,2 to 4,no change,external,12,0,28,male,31 to 35,1 vehicle,6 years,sedan,more than 69000,vw,urban,policy holder,no,no
7232,liability,thursday,1,may,400,more than 30,1,no change,external,9,0,49,male,41 to 50,1 vehicle,> 7 years,sport,30000 to 39000,acura,urban,policy holder,no,no
7233,collision,wednesday,3,oct,400,more than 30,1,no change,external,12,0,23,male,26 to 30,1 vehicle,4 years,sedan,20000 to 29000,pontiac,urban,third party,no,no
7234,liability,friday,4,oct,400,more than 30,1,no change,external,13,0,64,male,51 to 65,1 vehicle,> 7 years,sport,20000 to 29000,chevrolet,urban,policy holder,no,no
7235,liability,friday,4,oct,400,more than 30,1,no change,external,6,0,32,female,31 to 35,1 vehicle,5 years,sport,20000 to 29000,honda,urban,third party,no,no
7236,collision,monday,3,nov,400,more than 30,none,no change,external,14,0,33,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
7237,collision,friday,5,oct,400,more than 30,none,no change,external,13,0,70,male,over 65,1 vehicle,> 7 years,sedan,40000 to 59000,honda,urban,third party,no,no
7238,liability,monday,3,oct,400,more than 30,more than 4,no change,external,16,0,55,male,41 to 50,1 vehicle,> 7 years,sport,30000 to 39000,mazda,urban,policy holder,no,no
7239,all perils,tuesday,2,jul,400,more than 30,2 to 4,no change,external,11,0,43,male,36 to 40,1 vehicle,7 years,sedan,30000 to 39000,toyota,urban,policy holder,no,no
7240,liability,friday,3,jun,400,more than 30,2 to 4,no change,external,9,0,49,male,41 to 50,1 vehicle,> 7 years,sport,20000 to 29000,honda,urban,policy holder,no,no
7241,collision,monday,3,may,400,more than 30,none,no change,external,6,0,27,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,chevrolet,rural,policy holder,no,no
7242,liability,thursday,4,jul,400,more than 30,more than 4,no change,external,5,0,35,male,31 to 35,1 vehicle,6 years,sport,20000 to 29000,toyota,urban,third party,no,no
7243,collision,monday,3,apr,500,more than 30,1,2 to 3 years,external,9,0,39,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,mazda,rural,policy holder,no,no
7244,liability,wednesday,2,apr,400,more than 30,more than 4,no change,external,5,0,46,male,41 to 50,1 vehicle,7 years,sport,20000 to 29000,mazda,urban,third party,no,no
7245,collision,monday,2,nov,400,more than 30,none,no change,external,7,0,32,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,honda,urban,policy holder,no,no
7246,all perils,wednesday,2,nov,400,more than 30,none,4 to 8 years,external,9,0,43,male,36 to 40,2 vehicles,7 years,sedan,less than 20000,pontiac,urban,third party,no,no
7247,all perils,monday,1,jul,400,more than 30,none,no change,external,6,0,26,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,honda,urban,policy holder,no,no
7248,all perils,friday,1,jul,400,more than 30,2 to 4,no change,external,14,0,38,male,36 to 40,1 vehicle,7 years,utility,more than 69000,mazda,urban,policy holder,no,no
7249,collision,wednesday,4,apr,400,more than 30,none,no change,external,11,0,32,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
7250,liability,tuesday,2,mar,400,more than 30,more than 4,no change,external,5,0,40,male,36 to 40,1 vehicle,> 7 years,sport,60000 to 69000,vw,urban,policy holder,no,no
7251,collision,thursday,1,mar,400,more than 30,2 to 4,no change,external,12,0,44,male,36 to 40,1 vehicle,7 years,sedan,more than 69000,acura,urban,policy holder,no,no
7252,collision,monday,4,oct,400,more than 30,none,no change,external,15,0,54,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
7253,collision,friday,1,oct,400,more than 30,more than 4,no change,external,14,0,26,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
7254,collision,monday,4,sep,400,more than 30,2 to 4,no change,external,13,0,32,male,31 to 35,1 vehicle,7 years,sedan,30000 to 39000,mazda,urban,third party,no,no
7255,liability,monday,4,aug,700,more than 30,more than 4,no change,external,6,0,46,male,41 to 50,1 vehicle,> 7 years,sport,20000 to 29000,honda,urban,policy holder,no,no
7256,liability,thursday,3,oct,400,more than 30,2 to 4,no change,internal,14,0,44,female,36 to 40,1 vehicle,7 years,sport,40000 to 59000,mazda,urban,policy holder,no,no
7257,liability,tuesday,2,jul,400,more than 30,more than 4,no change,external,14,0,59,male,51 to 65,1 vehicle,> 7 years,sport,more than 69000,vw,urban,third party,no,no
7258,liability,tuesday,2,jun,400,more than 30,2 to 4,no change,external,13,0,30,female,31 to 35,3 to 4,4 years,sport,20000 to 29000,mazda,urban,policy holder,no,no
7259,collision,monday,2,may,400,more than 30,1,no change,external,12,0,53,male,41 to 50,1 vehicle,> 7 years,sedan,40000 to 59000,pontiac,rural,policy holder,no,no
7260,collision,tuesday,3,oct,400,more than 30,2 to 4,no change,external,6,0,30,female,31 to 35,1 vehicle,5 years,sedan,more than 69000,chevrolet,urban,third party,no,no
7261,all perils,wednesday,4,apr,400,more than 30,none,no change,external,5,0,64,male,51 to 65,1 vehicle,> 7 years,sedan,20000 to 29000,mercury,urban,policy holder,no,no
7262,liability,monday,4,apr,400,more than 30,none,no change,external,4,0,58,male,51 to 65,1 vehicle,> 7 years,sport,20000 to 29000,honda,urban,policy holder,no,no
7263,liability,thursday,3,apr,400,more than 30,2 to 4,no change,external,5,0,38,male,36 to 40,1 vehicle,> 7 years,sport,more than 69000,chevrolet,urban,policy holder,no,no
7264,liability,thursday,1,jul,400,more than 30,none,no change,external,4,0,33,male,31 to 35,1 vehicle,6 years,sport,30000 to 39000,toyota,urban,policy holder,no,no
7265,liability,monday,1,jul,400,more than 30,more than 4,no change,external,11,0,29,male,31 to 35,1 vehicle,6 years,sport,20000 to 29000,honda,urban,policy holder,no,no
7266,liability,thursday,1,mar,400,more than 30,more than 4,no change,external,16,0,34,male,31 to 35,1 vehicle,6 years,sport,20000 to 29000,honda,urban,third party,no,no
7267,liability,friday,1,mar,400,more than 30,none,4 to 8 years,external,3,0,34,female,31 to 35,2 vehicles,6 years,sport,20000 to 29000,chevrolet,urban,policy holder,no,no
7268,liability,tuesday,3,apr,400,more than 30,1,no change,external,9,0,46,female,41 to 50,1 vehicle,7 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
7269,liability,thursday,3,apr,400,more than 30,1,no change,external,4,0,49,male,41 to 50,1 vehicle,> 7 years,sport,30000 to 39000,pontiac,urban,policy holder,no,no
7270,liability,monday,5,feb,400,more than 30,1,no change,external,4,0,39,male,16 to 17,1 vehicle,<= 1 year,sport,more than 69000,honda,urban,policy holder,no,no
7271,liability,thursday,2,mar,400,more than 30,more than 4,no change,external,14,0,32,male,31 to 35,1 vehicle,6 years,sport,20000 to 29000,mazda,urban,policy holder,no,no
7272,all perils,friday,2,feb,400,more than 30,1,no change,external,8,0,61,male,51 to 65,1 vehicle,<= 1 year,sedan,more than 69000,honda,urban,policy holder,no,no
7273,collision,wednesday,1,mar,400,more than 30,none,no change,external,13,0,33,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
7274,all perils,tuesday,1,mar,400,more than 30,none,no change,external,14,0,29,male,31 to 35,1 vehicle,<= 1 year,sedan,more than 69000,honda,urban,policy holder,no,no
7275,liability,monday,4,oct,400,more than 30,2 to 4,no change,external,11,0,44,female,36 to 40,1 vehicle,7 years,sport,20000 to 29000,pontiac,urban,third party,no,no
7276,liability,tuesday,4,jan,400,more than 30,1,no change,external,4,0,36,male,36 to 40,1 vehicle,7 years,sport,40000 to 59000,ford,urban,third party,no,no
7277,liability,wednesday,2,mar,400,more than 30,more than 4,no change,external,10,0,48,male,41 to 50,1 vehicle,> 7 years,sport,20000 to 29000,pontiac,urban,policy holder,no,no
7278,collision,wednesday,1,mar,400,more than 30,none,no change,external,6,0,39,female,36 to 40,1 vehicle,5 years,sedan,20000 to 29000,pontiac,urban,third party,no,no
7279,collision,tuesday,1,apr,400,more than 30,none,no change,external,13,0,30,male,31 to 35,1 vehicle,6 years,sport,more than 69000,honda,urban,policy holder,no,no
7280,all perils,friday,1,mar,400,more than 30,2 to 4,no change,external,11,0,44,male,36 to 40,1 vehicle,7 years,sedan,30000 to 39000,toyota,urban,policy holder,no,no
7281,liability,monday,3,feb,400,more than 30,more than 4,1 year,external,2,0,38,male,36 to 40,1 vehicle,7 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
7282,collision,wednesday,3,feb,400,more than 30,none,no change,external,15,0,39,male,36 to 40,1 vehicle,7 years,sedan,40000 to 59000,chevrolet,urban,policy holder,no,no
7283,collision,monday,4,mar,400,more than 30,2 to 4,no change,external,9,0,30,male,31 to 35,1 vehicle,5 years,sedan,30000 to 39000,pontiac,urban,policy holder,no,no
7284,all perils,tuesday,2,mar,400,more than 30,1,no change,external,10,0,75,male,over 65,1 vehicle,> 7 years,sedan,less than 20000,toyota,urban,policy holder,no,no
7285,collision,friday,1,apr,400,more than 30,1,no change,external,11,0,24,male,26 to 30,1 vehicle,5 years,sedan,30000 to 39000,chevrolet,urban,third party,no,no
7286,collision,monday,4,mar,700,more than 30,none,no change,external,14,0,42,male,36 to 40,1 vehicle,7 years,sedan,less than 20000,honda,urban,third party,no,no
7287,collision,tuesday,4,mar,400,more than 30,none,no change,external,4,0,36,male,36 to 40,1 vehicle,7 years,sedan,30000 to 39000,mazda,urban,policy holder,no,no
7288,all perils,tuesday,1,apr,400,more than 30,none,4 to 8 years,external,11,0,39,male,16 to 17,2 vehicles,<= 1 year,sedan,more than 69000,honda,urban,policy holder,no,no
7289,liability,monday,1,apr,400,more than 30,2 to 4,no change,external,6,0,39,male,36 to 40,1 vehicle,7 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
7290,liability,tuesday,2,apr,400,more than 30,1,no change,external,12,0,40,male,36 to 40,1 vehicle,7 years,sport,20000 to 29000,mazda,urban,policy holder,no,no
7291,all perils,thursday,5,apr,400,more than 30,2 to 4,no change,external,7,0,37,male,36 to 40,1 vehicle,> 7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
7292,liability,tuesday,3,apr,400,more than 30,1,no change,external,16,0,39,male,16 to 17,1 vehicle,<= 1 year,sport,more than 69000,honda,urban,policy holder,no,no
7293,all perils,tuesday,2,sep,400,more than 30,none,no change,external,7,0,33,male,31 to 35,1 vehicle,5 years,sedan,less than 20000,pontiac,urban,policy holder,no,no
7294,liability,tuesday,4,dec,400,more than 30,none,2 to 3 years,external,11,0,24,female,26 to 30,1 vehicle,3 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
7295,all perils,wednesday,5,dec,400,more than 30,1,no change,external,5,0,51,female,41 to 50,1 vehicle,7 years,sedan,less than 20000,toyota,urban,policy holder,no,no
7296,liability,monday,3,feb,400,more than 30,more than 4,no change,external,11,0,30,male,31 to 35,1 vehicle,7 years,sport,30000 to 39000,pontiac,urban,policy holder,no,no
7297,collision,tuesday,4,feb,400,more than 30,1,no change,external,2,0,33,female,31 to 35,1 vehicle,5 years,sedan,20000 to 29000,honda,urban,third party,no,no
7298,collision,thursday,4,feb,400,more than 30,2 to 4,no change,external,8,0,33,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,mazda,urban,policy holder,no,no
7299,all perils,wednesday,3,mar,400,more than 30,2 to 4,no change,external,3,0,55,male,41 to 50,3 to 4,> 7 years,sedan,30000 to 39000,toyota,urban,third party,no,no
7300,collision,monday,4,feb,400,more than 30,none,no change,external,9,0,44,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
7301,collision,tuesday,5,mar,400,more than 30,2 to 4,no change,external,6,0,34,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
7302,liability,wednesday,2,mar,400,more than 30,2 to 4,no change,external,5,0,59,male,51 to 65,1 vehicle,> 7 years,sport,20000 to 29000,chevrolet,urban,policy holder,no,no
7303,collision,thursday,2,mar,400,more than 30,1,no change,external,11,0,38,male,36 to 40,1 vehicle,7 years,sedan,30000 to 39000,toyota,rural,policy holder,no,no
7304,liability,thursday,2,mar,400,more than 30,1,no change,external,4,0,44,male,36 to 40,1 vehicle,7 years,sport,more than 69000,honda,urban,policy holder,no,no
7305,liability,friday,3,mar,400,more than 30,1,no change,external,6,0,37,male,36 to 40,1 vehicle,7 years,sport,30000 to 39000,honda,urban,policy holder,no,no
7306,collision,friday,4,mar,400,more than 30,2 to 4,no change,external,7,0,34,male,31 to 35,1 vehicle,5 years,sedan,30000 to 39000,mazda,urban,third party,no,no
7307,collision,wednesday,4,jun,400,more than 30,more than 4,no change,external,7,0,45,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
7308,collision,monday,2,jul,400,more than 30,none,no change,external,1,0,18,male,21 to 25,1 vehicle,3 years,sedan,20000 to 29000,toyota,urban,third party,no,no
7309,liability,thursday,1,jul,400,more than 30,2 to 4,4 to 8 years,external,7,0,38,female,36 to 40,2 vehicles,7 years,sport,20000 to 29000,honda,urban,third party,no,no
7310,all perils,friday,1,jul,400,more than 30,2 to 4,no change,external,8,0,25,male,26 to 30,1 vehicle,5 years,sedan,less than 20000,pontiac,urban,third party,no,no
7311,liability,tuesday,1,jul,400,more than 30,2 to 4,no change,external,1,0,31,male,31 to 35,1 vehicle,7 years,sport,more than 69000,pontiac,urban,policy holder,no,no
7312,all perils,thursday,1,jul,400,more than 30,1,no change,external,7,0,26,male,31 to 35,1 vehicle,5 years,sedan,less than 20000,pontiac,urban,policy holder,no,no
7313,collision,tuesday,2,nov,400,more than 30,none,no change,external,3,0,35,female,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,mazda,urban,policy holder,no,no
7314,all perils,tuesday,2,nov,400,more than 30,none,no change,external,5,0,51,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
7315,liability,thursday,3,nov,400,more than 30,1,no change,external,10,0,27,male,31 to 35,1 vehicle,6 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
7316,collision,monday,4,oct,400,more than 30,2 to 4,no change,external,10,0,26,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,honda,urban,policy holder,no,no
7317,collision,wednesday,4,oct,700,more than 30,2 to 4,no change,external,13,1,35,male,31 to 35,1 vehicle,7 years,sedan,30000 to 39000,pontiac,urban,policy holder,no,no
7318,liability,friday,3,jul,400,more than 30,2 to 4,no change,external,11,0,50,male,41 to 50,1 vehicle,> 7 years,sport,30000 to 39000,honda,urban,policy holder,no,no
7319,collision,monday,2,jul,400,more than 30,2 to 4,no change,external,3,0,49,male,41 to 50,1 vehicle,> 7 years,sedan,30000 to 39000,chevrolet,urban,third party,no,no
7320,liability,monday,1,jul,400,more than 30,more than 4,no change,external,13,0,52,male,41 to 50,1 vehicle,> 7 years,sport,more than 69000,honda,urban,third party,no,no
7321,collision,friday,1,jul,400,more than 30,2 to 4,no change,external,8,0,21,male,26 to 30,1 vehicle,6 years,sport,more than 69000,honda,urban,third party,no,no
7322,all perils,tuesday,4,jun,400,more than 30,none,no change,external,12,0,50,male,41 to 50,1 vehicle,> 7 years,sedan,less than 20000,pontiac,urban,third party,no,no
7323,liability,friday,4,jun,400,more than 30,more than 4,no change,external,1,0,27,male,31 to 35,1 vehicle,6 years,sport,20000 to 29000,honda,urban,policy holder,no,no
7324,liability,wednesday,2,apr,400,more than 30,more than 4,no change,external,11,0,35,male,31 to 35,1 vehicle,7 years,sport,more than 69000,pontiac,urban,policy holder,no,no
7325,all perils,friday,4,oct,400,more than 30,1,no change,external,6,1,64,male,51 to 65,1 vehicle,> 7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
7326,collision,friday,5,mar,400,more than 30,1,no change,external,13,0,33,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
7327,all perils,wednesday,3,oct,400,more than 30,none,no change,external,6,0,45,male,36 to 40,1 vehicle,7 years,sedan,more than 69000,chevrolet,urban,third party,no,no
7328,liability,thursday,4,mar,400,more than 30,none,no change,external,3,0,30,male,31 to 35,1 vehicle,6 years,sport,20000 to 29000,honda,urban,third party,no,no
7329,all perils,wednesday,3,mar,400,more than 30,2 to 4,no change,external,10,0,39,male,36 to 40,1 vehicle,7 years,utility,more than 69000,mazda,urban,policy holder,no,no
7330,all perils,monday,3,mar,400,more than 30,none,4 to 8 years,external,7,0,53,male,41 to 50,2 vehicles,> 7 years,sedan,more than 69000,mazda,urban,policy holder,no,no
7331,collision,monday,2,mar,400,more than 30,1,no change,external,14,0,44,female,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
7332,collision,monday,2,mar,400,more than 30,none,no change,external,13,0,57,male,51 to 65,1 vehicle,> 7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
7333,all perils,monday,1,mar,400,more than 30,1,no change,external,12,0,59,female,51 to 65,1 vehicle,> 7 years,sedan,less than 20000,pontiac,urban,third party,no,yes
7334,collision,friday,1,mar,400,more than 30,more than 4,no change,external,10,0,44,male,36 to 40,1 vehicle,6 years,sedan,40000 to 59000,ford,urban,policy holder,no,no
7335,collision,thursday,1,mar,400,more than 30,2 to 4,no change,external,7,0,34,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
7336,collision,tuesday,3,mar,400,more than 30,2 to 4,no change,external,16,0,40,male,36 to 40,1 vehicle,7 years,utility,more than 69000,chevrolet,rural,policy holder,no,no
7337,all perils,wednesday,3,oct,400,more than 30,1,no change,external,10,1,42,male,36 to 40,1 vehicle,7 years,sedan,more than 69000,pontiac,urban,policy holder,no,no
7338,collision,friday,3,feb,400,more than 30,none,no change,external,5,0,31,male,31 to 35,1 vehicle,5 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
7339,all perils,tuesday,2,may,400,more than 30,none,no change,external,9,0,41,male,36 to 40,1 vehicle,<= 1 year,sedan,more than 69000,honda,urban,policy holder,no,no
7340,collision,tuesday,1,oct,400,more than 30,1,no change,external,13,0,47,female,41 to 50,3 to 4,7 years,sedan,30000 to 39000,toyota,rural,policy holder,no,no
7341,liability,tuesday,1,oct,400,more than 30,none,no change,external,14,0,55,male,41 to 50,1 vehicle,> 7 years,sport,20000 to 29000,honda,urban,policy holder,no,no
7342,collision,monday,1,oct,400,more than 30,2 to 4,no change,external,15,0,39,male,36 to 40,1 vehicle,> 7 years,sedan,20000 to 29000,honda,urban,third party,no,no
7343,collision,monday,4,oct,400,more than 30,1,no change,external,11,0,21,male,26 to 30,1 vehicle,5 years,sedan,20000 to 29000,honda,urban,third party,no,no
7344,collision,thursday,3,sep,400,more than 30,1,no change,external,6,0,28,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,honda,urban,third party,no,no
7345,liability,tuesday,2,sep,500,more than 30,2 to 4,2 to 3 years,external,9,0,30,female,31 to 35,1 vehicle,7 years,sport,30000 to 39000,mazda,urban,policy holder,no,no
7346,liability,tuesday,2,jul,400,more than 30,2 to 4,no change,external,8,0,51,male,41 to 50,1 vehicle,> 7 years,sport,30000 to 39000,mazda,urban,policy holder,no,no
7347,liability,monday,1,jul,400,more than 30,more than 4,no change,external,16,0,58,male,51 to 65,1 vehicle,7 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
7348,liability,tuesday,4,jul,400,more than 30,2 to 4,no change,external,3,0,39,male,16 to 17,1 vehicle,<= 1 year,sport,more than 69000,honda,urban,policy holder,no,no
7349,all perils,monday,2,jun,400,more than 30,1,no change,external,12,0,65,male,51 to 65,1 vehicle,> 7 years,sedan,more than 69000,pontiac,urban,policy holder,no,no
7350,collision,tuesday,3,may,400,more than 30,none,no change,external,15,0,32,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
7351,liability,tuesday,3,apr,400,more than 30,2 to 4,4 to 8 years,external,11,0,32,male,31 to 35,2 vehicles,7 years,sport,20000 to 29000,pontiac,urban,policy holder,no,no
7352,liability,wednesday,2,apr,400,more than 30,none,no change,external,4,0,26,female,31 to 35,1 vehicle,6 years,sport,20000 to 29000,mazda,urban,policy holder,no,yes
7353,liability,monday,2,apr,400,more than 30,more than 4,no change,external,9,0,30,male,31 to 35,1 vehicle,7 years,sport,20000 to 29000,honda,urban,third party,no,no
7354,collision,wednesday,1,may,400,more than 30,none,no change,external,16,0,49,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,mazda,urban,policy holder,no,no
